cluster id	0
2020-04-24 00:00:00	 University of Saskatchewan economist Joel Bruneau says the Saskatchewan government's plan to reopen the economy is balanced and practical. The Saskatchewan government's plan to gradually lift the coronavirus restrictions and restart the economy is earning mostly praise. Steve McLellan, CEO of the Saskatchewan Chamber of Commerce, gives the government an A for its plan to restart the economy. Ken Coates, Canada Research Chair in Regional Innovation at the Johnson Shoyama Graduate School of Public Policy said the government's plan to restart the economy contains \"just the right amount\" of detail. Saskatchewan Federation of Labour President Lori Johb says vulnerable and low-wage workers have been left out of the government's plans to restart the economy.
2020-04-21 00:00:00	 \"Ontario's economy and Canada's economy need the GTHA to come back stronger than ever when the restart begins.\" Tory said the mayors and chairs met by video conference on Tuesday to discuss the impacts of COVID-19 on the region and how they can work together to get the economy restarted when the time comes.   how our municipalities can work together on an a united regional economic restart and recovery. <
2020-04-28 00:00:00	 An economic bloodbath' Pressure to reopen the economy is starting to build. \"That would force us to reintroduce restrictions that would further disrupt society and economic conditions in our territory, and no one wants to see that.\" On Tuesday the federal government and Canada's premiers released an outline for restarting the economy.  
2020-04-24 00:00:00	 The Saskatchewan government's plan to gradually lift the coronavirus restrictions and restart the economy is earning mostly praise. University of Saskatchewan economist Joel Bruneau says the Saskatchewan government's plan to reopen the economy is balanced and practical. Steve McLellan, CEO of the Saskatchewan Chamber of Commerce, gives the government an A for its plan to restart the economy. Ken Coates, Canada Research Chair in Regional Innovation at the Johnson Shoyama Graduate School of Public Policy said the government's plan to restart the economy contains \"just the right amount\" of detail. Saskatchewan Federation of Labour President Lori Johb says vulnerable and low-wage workers have been left out of the government's plans to restart the economy.
2020-04-24 00:00:00	 Steve McLellan, CEO of the Saskatchewan Chamber of Commerce, gives the government an A for its plan to restart the economy. University of Saskatchewan economist Joel Bruneau says the Saskatchewan government's plan to reopen the economy is balanced and practical. The Saskatchewan government's plan to gradually lift the coronavirus restrictions and restart the economy is earning mostly praise. Ken Coates, Canada Research Chair in Regional Innovation at the Johnson Shoyama Graduate School of Public Policy said the government's plan to restart the economy contains \"just the right amount\" of detail. Saskatchewan Federation of Labour President Lori Johb says vulnerable and low-wage workers have been left out of the government's plans to restart the economy.
cluster id	1
2020-04-19 00:00:00	 The growth of the so-called 'gig economy' bolstered the case for UBI. As millions of workers apply for help, mothers-to-be say they can't get CERBPoloz sees parts of Canadian economy beginning to restart in 'late May' The CERB, he said, is \"kind of like a scaled-up welfare with the same welfare traps.
2020-03-24 00:00:00	 The forced closure is the latest example of how the coronavirus pandemic is wreaking havoc on the Canadian economy, threatening to stifle growth and putting countless people out of work.
2020-04-17 00:00:00	 Poloz sees parts of Canadian economy beginning to restart in '
cluster id	2
2020-04-22 00:00:00	 Nevertheless, officials were increasingly focused on restarting the flagging economy.
2020-03-17 00:00:00	 Portfolio Management Corp. \"Given the stimulus that's in the economy The board said the economy could start to rebound in the fourth quarter during 2021 — with oil projected to top $50 — Now, he projects zero growth in Alberta for 2020 and to remain in recession. However, the board said growth should resume in the third quarter but suggests that any hopes for an economic turnaround in Alberta for 2020 will not happen. \"After slowing to end the year, economic growth has been weak in the first quarter and is expected to contract in the second quarter to 2.7 per cent,\
2020-04-03 00:00:00	 \"This pandemic and this economic fallout will permanently reshape our economy,\ The COVID-19 pandemic and its related economic fallout is poised to change Alberta's economy permanently, says ATB chief economist Todd Hirsch.
2020-04-03 00:00:00	 The COVID-19 pandemic and its related economic fallout is poised to change Alberta's economy permanently, says ATB chief economist Todd Hirsch. \"This pandemic and this economic fallout will permanently reshape our economy,\
2020-03-03 00:00:00	 As well as plenty of pressure from investors for rate cuts as a measure to stop stock market declines, OECD chief economist Laurence Boone yesterday called on governments, including central banks, to act quickly to prevent damage to the wider economy. \"The main question for the economic outlook is how long and how widely the virus will spread, and with it the containment measures,\" said Boone. But for central bank economists one of the concerns will be that a synchronized decline in supply and demand will mean the economy operates far below capacity. AnalysisCoronavirus could be the global shock that economists have feared Boone called for a joint statement by governments on those actions that would reassure all the participants in the global economy, leading to a medium-term recovery.
2020-03-11 00:00:00	 That should be sufficient, Legault said, to offset an economic slowdown, which economists say is a distinct possibility given the coronavirus outbreak is already disrupting economies in Asia and Europe. Premier François Legault defended his government's response to the COVID-19 pandemic, one day after tabling a budget that is free of measures to deal with the outbreak and forecasts it will have no impact on Quebec's economic growth. Legault also said his finance minister has a struck a committee to ready a stimulus package, in case Quebec's economy also starts to falter. The global economic outlook hasn't improved since then. 
2020-04-16 00:00:00	 This is less damaging than cutting during the pandemic as the economy is less sensitive to government spending in economic boom times. COVID-19 has world's major economies on track for worst quarterly decline in historyIMF says coronavirus recession will be worse than 2008, as UN appeals for aid for poorest economies Austerity was tried in Europe following the financial crisis of 2008.
cluster id	3
2020-02-14 00:00:00	 China is struggling to restart its economy after the outbreak of the coronavirus. But until they're here and they see the technology and get the demos and meet the people, we can't make too much progress.\" Budget watchdog slashes economic growth projections, partly blames coronavirusAnalysisCoronavirus could be the global shock that economists have feared: Don Pittis The Manitoba Technology Accelerator was also going to make an announcement in April about a medical device assembly company with about $2 million of money from Chinese investors.
2020-02-25 00:00:00	 The fears of the coronavirus derailing the world's economy come at a time when another closely watched economic indicator — earnings at Canadian banks — suggest that Canada's economy is doing well. we're finally waking up to the fact that this issue could go on for a while, and have a significant impact on Chinese and global economic growth and potentially the United States,\" said Randy Frederick, vice-president of trading and derivatives for money manager Charles Schwab.
2020-02-28 00:00:00	 Director of the National Economic Council Larry Kudlow said the U.S. economy is sound. The White House's top economic adviser, Larry Kudlow, told reporters the U.S. economy was \"sound\" and said the Trump administration was not planning to take any \"precipitous\" policy actions at this time. The index suffered its biggest weekly drop since the 2008 global financial crisis on fears the economic disruption caused by the coronavirus could lead to a recession. Federal Reserve Chair Jerome Powell said the coronavirus posed evolving risks to economic activity, adding that the U.S. central bank was \"closely monitoring\" developments and would act as appropriate to support the economy.
